Student,Skill1,Skill2,Skill3,Skill4
S448,1,1,1,4
S449,1,3,1,3
S450,4,2,2,3
S451,4,2,3,1
S452,4,2,3,3
S453,3,4,3,4
S454,1,2,4,2
S455,4,4,1,4
S456,2,1,1,1
S457,2,1,4,1
S458,1,4,2,2
S459,3,1,2,1
S460,4,1,4,3
S461,2,3,3,2
S462,3,3,2,1
S463,3,2,1,1
S464,1,3,2,4
S465,3,1,4,3
S466,4,1,3,3
S467,3,4,2,4
S468,1,1,2,3
S469,2,3,3,1
S470,1,3,4,3
S471,3,1,3,4
S472,2,2,4,2
S473,4,3,2,4
S474,1,2,3,2
S475,2,2,1,1
S476,2,3,3,2
S477,4,2,1,2
S478,4,4,3,3
S479,3,2,2,2
S480,1,1,3,3
S481,2,1,2,3
S482,2,2,4,1
S483,3,3,3,2
S484,4,4,3,1
S485,1,1,2,2
S486,3,2,2,3
S487,4,4,3,3
S488,4,4,4,1
S489,2,3,3,3
S490,1,2,4,1
S491,3,1,3,1
S492,4,2,4,4
S493,2,2,4,4
S494,3,4,1,4
S495,2,3,2,4
S496,4,1,1,1
S497,4,2,1,2
S498,3,4,3,2
S499,3,4,3,4
S500,4,1,2,4
S501,2,2,1,4
S502,4,4,1,4
S503,4,4,4,3
S504,3,1,2,4
S505,2,4,4,1
S506,3,4,3,4
S507,2,4,4,3
S508,2,2,3,2
S509,1,3,1,4
S510,4,4,4,1
S511,1,4,3,3
S512,3,3,2,1
S513,4,2,3,2
S514,3,3,4,3
S515,3,1,4,3
S516,2,1,2,1
S517,3,4,3,3
S518,3,4,4,1
S519,3,1,4,1
S520,3,1,3,1
S521,3,3,2,4
S522,4,1,2,4
S523,3,3,2,1
S524,4,1,3,3
S525,3,1,1,1
S526,2,3,1,2
S527,4,4,4,3
S528,4,4,2,3
S529,3,1,3,2
S530,2,4,2,4
S531,2,4,4,1
S532,1,2,2,4
S533,2,1,3,2
S534,1,4,1,1
S535,3,4,1,2
S536,4,4,1,4
S537,3,3,3,4
S538,2,2,4,4
S539,4,1,2,3
S540,2,1,1,1
S541,3,3,3,4
S542,3,4,4,4
S543,4,4,4,4
S544,3,4,4,4
S545,4,2,4,1
S546,3,4,3,4
S547,4,4,4,2
S548,1,1,4,2
S549,3,2,2,4
S550,2,2,1,2
S551,1,1,1,4
S552,2,1,4,1
S553,2,3,1,4
S554,3,2,1,4
S555,3,3,4,2
S556,2,1,2,3
S557,3,1,1,3
S558,3,2,4,1
S559,3,3,1,3
S560,4,3,3,2
S561,1,3,1,4
S562,3,2,2,3
S563,4,4,3,4
S564,1,2,1,2
S565,3,3,2,3
S566,3,2,2,4
S567,1,4,3,1
S568,3,2,1,1
S569,3,2,4,4
S570,3,3,3,2
S571,4,2,4,4
S572,4,3,2,1
S573,4,2,1,2
S574,4,4,4,2
S575,4,3,2,1
S576,1,2,2,3
S577,4,3,1,4
S578,4,1,1,4
S579,4,1,2,1
S580,1,1,2,3
S581,4,4,2,3
S582,4,2,4,2
S583,1,3,2,2
S584,1,4,3,3
S585,4,1,1,4
S586,1,1,3,2
S587,1,3,2,2
S588,2,2,4,4
S589,1,3,4,2
S590,4,2,2,3
S591,1,2,4,2
S592,2,4,4,3
S593,4,3,2,3
S594,2,2,3,1
S595,4,1,3,4
S596,1,1,4,1
S597,4,2,3,3
S598,2,2,1,1
S599,3,4,3,4
S600,2,2,1,2
S601,1,4,3,4
S602,1,4,2,3
S603,1,2,1,3
S604,4,1,3,3
S605,3,4,1,2
S606,3,4,3,4
S607,4,1,3,2
S608,2,2,2,1
S609,2,1,2,1
S610,4,4,1,1
S611,2,4,4,4
S612,2,2,2,2
S613,2,4,1,2
S614,4,3,3,2
S615,2,2,3,1
S616,2,2,2,1
S617,4,2,4,2
S618,1,1,2,4
S619,2,2,3,2
S620,1,3,2,3
S621,2,4,2,4
S622,4,1,3,1
S623,1,1,1,2
S624,4,3,1,1
S625,4,4,3,4
S626,3,2,3,1
S627,4,2,2,1
S628,4,1,4,1
S629,4,1,1,2
S630,2,3,1,4
S631,2,2,2,2
S632,2,2,3,3
S633,2,2,1,3
S634,4,2,4,4
S635,3,3,4,4
S636,3,3,2,3
S637,1,3,1,2
S638,4,2,4,3
S639,3,1,2,2
S640,1,4,1,2
S641,4,2,2,4
S642,4,3,3,3
S643,3,4,2,2
S644,3,4,3,2
S645,4,4,3,3
S646,2,2,3,4
S647,1,3,4,3
S648,3,4,3,2
S649,1,3,2,4
S650,1,1,3,1
S651,1,4,2,1
S652,4,1,3,2
S653,2,1,2,1
S654,3,2,4,2
S655,3,4,2,1
S656,2,3,4,4
S657,1,3,3,4
S658,2,1,4,2
S659,3,1,1,3
S660,1,3,1,2
S661,3,1,2,3
S662,1,2,3,1
S663,2,3,3,1
S664,2,4,1,1
S665,1,4,3,3
S666,1,4,2,2
S667,1,3,1,3
S668,3,2,4,2
S669,1,1,4,1
S670,2,3,1,2
S671,2,4,2,4
S672,4,2,2,3
S673,2,3,2,3
S674,3,4,4,2
S675,1,2,2,3
S676,2,4,1,2
S677,1,2,2,3
S678,4,3,2,2
S679,1,1,2,1
S680,2,3,2,2
S681,3,1,4,3
S682,2,3,3,2
S683,1,2,4,1
S684,4,1,4,1
S685,3,3,2,2
S686,2,2,2,1
S687,2,4,2,4
S688,3,3,1,3
S689,4,2,1,2
S690,2,4,2,1
S691,3,3,3,3
S692,2,4,2,3
S693,2,1,2,4
S694,4,2,1,3
S695,2,2,3,4
S696,1,4,1,3
S697,2,4,4,3
S698,1,3,1,3
S699,1,2,1,4
S700,2,3,4,1
S701,2,2,1,1
S702,4,1,2,2
S703,2,4,4,3
S704,4,2,3,1
S705,4,1,2,3
S706,1,1,1,2
S707,2,3,2,2
S708,2,1,4,4
S709,2,1,1,3
S710,3,1,2,4
S711,3,4,3,1
S712,3,2,4,1
S713,2,4,1,4
S714,1,3,1,3
S715,3,2,3,4
S716,1,4,2,2
S717,4,4,1,3
S718,3,1,4,3
S719,2,1,1,2
S720,4,1,3,3
S721,2,1,1,1
S722,3,2,1,2
S723,1,1,2,1
S724,1,3,3,2
S725,4,1,3,3
S726,3,2,2,4
S727,3,3,3,3
S728,1,3,3,2
S729,3,2,1,4
S730,2,1,1,1
S731,3,2,2,2
S732,2,4,3,4
S733,3,2,3,2
S734,3,3,3,2
S735,3,3,2,2
S736,4,3,1,1
S737,4,3,2,2
S738,4,1,4,4
S739,1,3,3,4
S740,1,1,3,3
S741,3,3,3,4
S742,4,1,4,1
S743,4,1,2,3
S744,4,4,1,1
S745,4,3,1,1
S746,3,4,4,2
S747,4,2,2,1
S748,3,1,4,4
S749,1,3,1,2
S750,1,3,2,4
S751,1,4,2,3
S752,4,3,1,4
S753,2,3,2,2
S754,4,4,3,1
S755,4,1,1,2
S756,2,1,2,2
S757,3,1,2,4
S758,2,4,3,2
S759,2,1,3,1
S760,2,1,3,2
S761,2,4,4,2
S762,4,4,4,1
S763,3,2,4,4
S764,3,2,2,2
S765,1,4,2,4
S766,4,2,1,2
S767,1,3,1,3
S768,3,1,4,2
S769,3,2,2,3
S770,4,3,4,4
S771,3,4,1,2
S772,3,2,3,2
S773,3,1,4,3
S774,3,3,4,4
S775,4,2,3,1
S776,3,2,3,4
S777,2,4,1,1
S778,4,1,1,4
S779,3,3,4,2
S780,2,3,1,4
S781,2,1,4,1
S782,2,4,3,3
S783,1,3,1,2
S784,3,2,3,3
S785,1,3,2,4
S786,1,4,3,2
S787,2,3,4,4
S788,1,1,1,3
S789,2,4,1,4
S790,3,3,1,3
S791,4,3,2,2
S792,2,4,2,2
S793,1,4,3,3
S794,3,1,3,3
S795,4,3,4,1
S796,1,2,3,4
S797,1,4,4,4
S798,3,4,2,2
S799,1,1,1,1
S800,2,1,4,1
S801,2,4,4,3
S802,1,4,3,4
S803,1,1,1,3
S804,3,3,4,2
S805,2,3,4,3
S806,4,1,1,2
S807,4,4,4,1
S808,3,1,3,3
S809,1,2,1,2
S810,4,2,2,1
S811,1,3,2,1
S812,3,2,1,3
S813,3,2,3,4
S814,4,3,3,2
S815,2,4,4,4
S816,1,4,4,1
S817,4,3,2,2
S818,1,3,3,4
S819,2,4,3,3
S820,3,4,4,4
S821,4,4,3,1
S822,2,4,1,3
S823,2,4,1,3
S824,4,4,3,2
S825,1,2,3,4
S826,4,3,4,2
S827,2,1,1,2
S828,3,4,3,3
S829,4,1,2,2
S830,1,1,4,1
S831,2,3,2,4
S832,2,4,4,2
S833,4,2,1,3
S834,3,3,1,2
S835,3,4,3,4
S836,3,4,2,2
S837,1,2,4,3
S838,3,1,3,3
S839,1,3,1,2
S840,4,4,1,4
S841,3,1,2,4
S842,3,2,3,2
S843,1,3,4,3
S844,1,4,3,4
S845,2,4,3,2
S846,2,1,4,3
S847,2,4,3,1
S848,2,4,2,2
S849,4,4,2,2
S850,3,4,4,2
S851,2,1,2,2
S852,3,4,2,1
S853,1,2,4,3
S854,4,3,4,2
S855,3,2,1,2
S856,3,4,4,2
S857,1,3,3,4
S858,2,4,1,2
S859,2,4,1,2
S860,1,3,1,3
S861,1,2,4,4
S862,4,4,3,4
S863,2,2,4,3
S864,4,1,2,2
S865,1,2,1,3
S866,4,2,2,4
S867,1,4,1,4
S868,1,4,4,2
S869,2,4,2,2
S870,3,2,4,2
S871,1,4,3,1
S872,2,4,2,4
S873,1,3,4,3
S874,4,4,4,2
S875,1,3,1,2
S876,3,3,1,4
S877,1,2,4,1
S878,4,4,4,1
S879,1,3,3,2
S880,1,1,3,2
S881,2,3,1,3
S882,1,1,2,2
S883,4,4,1,4
S884,3,2,1,1
S885,2,4,1,3
S886,4,1,3,2
S887,4,3,3,2
S888,4,4,2,2
S889,4,2,3,2
S890,1,1,1,2
S891,3,1,4,2
S892,3,1,2,3
S893,4,4,2,2
S894,1,4,2,1
S895,2,3,2,1
S896,2,2,3,4
S897,4,3,2,3
S898,1,2,2,1
S899,2,3,3,1
S900,4,4,2,3
S901,2,1,3,3
S902,4,2,2,1
S903,4,4,3,2
S904,2,2,4,3
S905,4,1,4,4
S906,1,3,2,2
S907,4,1,2,4
S908,2,1,4,4
S909,2,1,1,4
S910,4,2,2,3
S911,2,3,2,3
S912,3,3,2,1
S913,4,1,3,4
S914,4,1,3,1
S915,4,1,4,2
S916,1,3,4,4
S917,2,4,3,4
S918,4,4,4,1
S919,4,4,4,2
S920,4,3,2,2
S921,3,2,1,1
S922,4,1,2,2
S923,4,1,3,4
S924,3,3,1,3
S925,2,2,1,1
S926,4,2,4,4
S927,4,3,1,4
S928,3,3,1,2
S929,3,4,2,2
S930,1,1,3,1
S931,3,3,1,2
S932,4,4,1,3
S933,3,2,2,2
S934,1,2,4,3
S935,3,2,1,4
S936,3,4,1,4
S937,2,1,3,1
S938,2,3,4,1
S939,4,1,3,2
S940,1,1,2,2
S941,1,2,1,1
S942,3,2,1,1
S943,1,1,1,1
S944,1,3,1,3
S945,3,3,2,3
S946,3,3,2,1
S947,1,3,4,2
S948,4,3,2,2
S949,4,1,2,2
S950,3,3,4,3
S951,2,4,3,1
S952,2,2,2,1
S953,2,4,3,3
S954,3,3,4,1
S955,3,2,4,2
S956,2,3,1,3
S957,3,4,4,3
S958,1,2,2,3
S959,4,3,1,3
S960,1,2,1,3
S961,4,3,3,1
S962,3,4,1,4
S963,3,2,2,1
S964,1,4,2,3
S965,2,2,1,3
S966,1,1,2,4
S967,4,3,2,2
S968,4,1,1,2
S969,3,2,2,1
S970,3,1,1,3
S971,2,4,4,2
S972,3,2,2,4
S973,2,4,2,1
S974,2,3,3,2
S975,1,1,4,4
S976,2,2,3,3
S977,2,1,2,4
S978,1,3,1,1
S979,1,3,4,3
S980,4,3,3,1
S981,2,1,3,2
S982,2,3,2,3
S983,3,4,4,1
S984,3,3,1,2
S985,3,4,1,3
S986,2,1,3,3
S987,3,2,1,2
S988,2,3,4,3
S989,4,2,3,2
S990,1,4,2,2
S991,4,3,1,2
S992,1,4,4,4
S993,4,2,3,3
S994,2,1,1,3
S995,3,4,4,3
S996,2,3,2,1
S997,3,3,2,4
S998,2,3,4,4
S999,4,3,3,4
S1000,3,2,3,2
